objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll019,MustTheChineseGoExclusionActifEnforcedOregonianpublishedasMorningOregonianDecember31890p8.pdf,"""Must The Chinese Go?""",The Morning Oregonian,1890-12-03,Survey of Portland politicians and businessmen regarding exclusion legislation. ,Chinese; Agriculture; Land Development,"Portland, Oregon",45.52345,-122.67621,NewsBank,MustTheChineseGoExclusionActifEnforcedOregonianpublishedasMorningOregonianDecember31890p8.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll020,StrictlyFulfilledOregonianpublishedasMorningOregonianMarch251886p4.pdf,"""Strictly Fulfilled""",The Morning Oregonian,1886-03-25,Anti-exclusion editorial surveying how media has reflected and impacted Chinese communities. ,Chinese; Agriculture; Land Development,"Whatcom County, Washington",48.82975,-121.87283,NewsBank,StrictlyFulfilledOregonianpublishedasMorningOregonianMarch251886p4.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll021,TheAntiChineseCrusadeAtPugetSoundOregonianpublishedasMorningOregonianSeptember301885p2.pdf,"""The Anti-Chinese Crusade At Puget Sound""",The Morning Oregonian,1885-09-30,Editorial on Chinese exclusion centering on political ramifications of Chinese exclusion on a national scale. ,Chinese; Agriculture,"Portland, Oregon",45.52345,-122.67621,NewsBank,TheAntiChineseCrusadeAtPugetSoundOregonianpublishedasMorningOregonianSeptember301885p2.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll022,SeattlesChineseinPublicandPrivateLifeSeattlePostIntelligencerpublishedasTheSeattlepostintelligencerOctober151911page20.pdf,"""Seattle's Chinese in Public and Private Life""",The Seattle Post-Intelligencer,10/15/11,Profile of successful Chinese businessmen in Seattle. ,Chinese; Land Development; Transportation; Lumber ,"Seattle, Washington",47.60621,-122.33207,NewsBank,SeattlesChineseinPublicandPrivateLifeSeattlePostIntelligencerpublishedasTheSeattlepostintelligencerOctober151911page20.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll023,ImportationofLaborApprovedWriterWouldHaveOregonianpublishedasMorningOregonianSeptember251918p8.pdf,"""Importation of Labor Approved""",The Morning Oregonian,9/25/18,Profile of Astoria mayor who fought to bring in Chines labor in order to clear land. ,Chinese; Land Development,"Astoria, Oregon",46.18788,-123.83125,NewsBank,ImportationofLaborApprovedWriterWouldHaveOregonianpublishedasMorningOregonianSeptember251918p8.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll024,ChineseProblemADifficultOneHowtoExcludeOregonianpublishedasMorningOregonianJune181905p1318.pdf,"""Chinese Problem A Difficult One""",The Morning Oregonian,6/18/05,Article giving a short history of the Chinese exclusion act and ways that the law could be mitigated so business with merchants could still be pursued.,Chinese; Agriculture; Land Development,"Portland, Oregon",45.52345,-122.67621,NewsBank,ChineseProblemADifficultOneHowtoExcludeOregonianpublishedasMorningOregonianJune181905p1318.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll025,KeepUpTheBarsBetterScarcityofLaborThanOregonianpublishedasMorningOregonianAugust101903p7.pdf,"""Keep Up The Bars""",The Morning Oregonian,8/10/03,Pro-exclusion editorial regarding business in Portland.,Chinese,"Portland, Oregon",45.52345,-122.67621,NewsBank,KeepUpTheBarsBetterScarcityofLaborThanOregonianpublishedasMorningOregonianAugust101903p7.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll026,LessRigidLawChineseSaysCountrymenAreOregonianpublishedasMorningOregonianApril81908p6.pdf,"""Less Rigid Law""",The Morning Oregonian,4/8/08,Perspective on Chinese exclusion law from Seattle merchant Goon Dip. ,Chinese; Agriculture; Land Development,"Seattle, Washington",47.60621,-122.33207,NewsBank,LessRigidLawChineseSaysCountrymenAreOregonianpublishedasMorningOregonianApril81908p6.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll027,C06031886.png,"""Tacoma Coal Bunkers""",Commerce (Newspaper),1886-06-03,Illustration of boats mooring on Tacoma waterfront.,Conclusion,"Tacoma, Washington",47.25288,-122.44429,The Tacoma Public Library Northwest Room,C06031886.png,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll028,030701IllemaStudyClub19201921.pdf,"Meeting Program Book, ""American Problems""",Illema Study Club,1/1/20,"Program for a series of lectures, including ""New Immigrants, Inducements, Impressions"" and ""Japanese and Chinese Problems""",Chinese,"Tacoma, Washington",47.25288,-122.44429,The Tacoma Public Library Northwest Room,030701IllemaStudyClub19201921.pdf,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll029,MMLLExcerptTranscript.pdf,"Lew, Mi and Marie Lee",Latah County Oral History Collection,11/20/75,Mi Lew and Marie Lee Lew describe the Chinese community in Walla Walla and the progression from railroad to agriculture.,Chinese;  Mining; Agriculture; Transportation,"Walla Walla, Washington",46.06458,-118.34302,University of Idaho,MMLLExcerptTranscript.pdf,Text,application/pdf,eng,"CC - Attribution 4.0 International. Digital reproduction rights assigned to the University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
coll030,FilipinoLaborAgentisFinedSeattlePostIntelligencerNovember41925page5.pdf,"""Filipino Labor Agent is Fined""",The Seattle Post-Intelligencer,11/4/25,Incident involving the head of Filipino Federated Labor Union being fined by the city of Seattle for operating without a license. ,Filipino,"Seattle, Washington",47.60621,-122.33207,NewsBank,FilipinoLaborAgentisFinedSeattlePostIntelligencerNovember41925page5.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll031,FilipinoLaborIndorsedYakimaSugarBeetGrowersOregonianpublishedasMorningOregonianMay41919p7.pdf,"""Filipino Labor Indorsed""",The Morning Oregonian,5/4/19,"""Agricultural Expert"" recommending the implementation Filipino labor in sugar beet farms of Yakima, Washington.",Filipino; Agriculture,"Yakima, Washington",46.60207,120.5059,NewsBank,FilipinoLaborIndorsedYakimaSugarBeetGrowersOregonianpublishedasMorningOregonianMay41919p7.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll032,FilipinosSuingChineseCompanySeattleDailyTimespublishedasTHESEATTLEDAILYTIMESFebruary271917page3.pdf,"""Filipinos Suing Chinese Company""",The Seattle Daily Times,2/27/17,Article illustrating lawsuit between Filipino laborers and the Chinese Wa Chong Co. involving the Shakan salmon cannery in Alaska.,Filipino; Fishing,"Shakan Bay, AL",56.16222,-133.60361,NewsBank,FilipinosSuingChineseCompanySeattleDailyTimespublishedasTHESEATTLEDAILYTIMESFebruary271917page3.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll033,TroubleAgainOverLoadingCableshipTacomaDailyNewspublishedasTHETACOMADAILYNEWSSeptember21912page2.pdf,"""Trouble Again Over Loading Cableship""",The Tacoma Daily News,9/2/12,Article describing protest of imported Filipino labor instead of Tacoma stevedores and dock workers with implications that the order was directed by labor unions in Seattle. ,Filipino; Mining,"Tacoma, Washington",47.25288,-122.44429,NewsBank,TroubleAgainOverLoadingCableshipTacomaDailyNewspublishedasTHETACOMADAILYNEWSSeptember21912page2.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll034,LaborersLeaveCannersinLurchHawaiiansandOregonianpublishedasMorningOregonianApril191911p3.pdf,"""Laborers Leave Canners in Lurch""",The Morning Oregonian,4/19/11,"Labor disagreement between Alaska Packers Association and the Chu Chu & Co contractors shuttling laborers between Hawaii, San Francisco and Nome. ",Filipino; Fishing,"Nome, AL",64.50111,-165.40639,NewsBank,LaborersLeaveCannersinLurchHawaiiansandOregonianpublishedasMorningOregonianApril191911p3.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll035,FederationDenouncedforFilipinoStandSeattleDailyTimespublishedasTHESEATTLEDAILYTIMESJuly121928page11.pdf,"""Federation Denounced for Filipino Stand""",The Seattle Daily Times,7/12/28,Public Statement from the Millionaire Club of Seattle to the State Federation of Labor at Wenatchee regarding anti-Filipino labor. ,Filipino; Agriculture,Wenatchee,47.42346,120.31035,NewsBank,FederationDenouncedforFilipinoStandSeattleDailyTimespublishedasTHESEATTLEDAILYTIMESJuly121928page11.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll036,FilipinoFreedomAskedOregonianpublishedasTheSundayOregonianMarch161930page6.pdf,"""Filipino Freedom Asked""",The Sunday Oregonian,3/16/30,Article describing complicated labor environment in Grays Harbor where Filipino workers offered to move away if the Philippines were granted independence. ,Filipino; Fishing,"Montesano, Washington",46.9576,-123.60544,NewsBank,FilipinoFreedomAskedOregonianpublishedasTheSundayOregonianMarch161930page6.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll037,KiwaniansHearProminentFilipinoSeattleDailyTimespublishedasTHESEATTLEDAILYTIMESOctober71930page9.pdf,"""Kiwanians Hear Prominent Filipino""",The Seattle Daily Times,10/7/30,Account of Filipino lawyer Vincente Villamin giving a speech at the Kiwanis Club meeting at the Olympic Hotel in Seattle. ,Filipino; Agriculture,"Seattle, Washington",47.60621,-122.33207,NewsBank,KiwaniansHearProminentFilipinoSeattleDailyTimespublishedasTHESEATTLEDAILYTIMESOctober71930page9.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll038,RaceRiotQuietsonVashonTribunepublishedasTHETACOMANEWSTRIBUNEMay151930page1.pdf,"""Race Riot Quiets on Vashon""",The Tacoma Daily News,5/15/30,"Aftermath of attack on Filipino laborers by ""gang of white youths"" on Vashon Island involving dynamiting, shooting and stabbing, which was likely inspired by recent anti-Filipino events in Kent, WA and Stockton, CA. ",Filipino; Agriculture,"Vashon Island, Washington",47.44732,-122.45985,NewsBank,RaceRiotQuietsonVashonTribunepublishedasTHETACOMANEWSTRIBUNEMay151930page1.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll039,SeattleUnionsAgainProtestFilipinoLaborSeattleDailyTimespublishedasTHESEATTLEDAILYTIMESMarch291929page27.pdf,"""Seattle Unions Again Protest Filipino Labor""",The Seattle Daily Times,3/29/29,"Account of calls for exclusion against Filipino labor by the president of the Washington State Federation of Labor on account of ""spinal meningitis menace.""",Filipino; Fishing,"Seattle, Washington",47.60621,-122.33207,NewsBank,SeattleUnionsAgainProtestFilipinoLaborSeattleDailyTimespublishedasTHESEATTLEDAILYTIMESMarch291929page27.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll040,TMExcerptTranscript.pdf,"Madayag, Toribio",Washington State Oral/Aural History Program,7/2/75,"Toribio Madayag describes immigrating to Grays Harbor, splitting time between cannery work and agricultural work, relationship with Japanese community and labor organization. ",Filipino;  Fishing; Agriculture; Transportation ,"Grays Harbor, Washington",47.14445,-123.82847,Washington State Archives,TMExcerptTranscript.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll041,AnExodusAndAnOpportunityOregonianpublishedasTheSundayOregonianApril21899p4.pdf,"""An Exodus And An Opportunity""",The Sunday Oregonian,1889-04-02,"Article directed to attracting Finnish immigrants towards the Pacific Northwest and Clatsop County in particular, and away from California. ",Finnish; Agriculture; Fishing,"Clatsop County, Oregon",46.01747,-123.71677,NewsBank,AnExodusAndAnOpportunityOregonianpublishedasTheSundayOregonianApril21899p4.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll042,LaborerThinksHeadAbsorbsElectricitySeattleDailyTimespublishedasTHESEATTLEDAILYTIMESJune41909page9.pdf,"""Laborer Thinks Head Absorbs Electricity""",The Seattle Daily Times,6/4/09,Article about Finnish laborer with mental illness. ,Finnish,"Seattle, Washington",47.60621,-122.33207,NewsBank,LaborerThinksHeadAbsorbsElectricitySeattleDailyTimespublishedasTHESEATTLEDAILYTIMESJune41909page9.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll043,LeapstoDeathAtBoatLandingSeattlePostIntelligencerpublishedasTheSeattlepostintelligencerJanuary231908page8.pdf,"""Leaps to Death At Boat Landing""",The Seattle Post-Intelligencer,1/23/08,Account of Finnish Laborer clearing land at Kennydale committing suicide on the way back to Seattle. ,Finnish; Land Development,"Kennydale, Washington",47.52066,-122.20679,NewsBank,LeapstoDeathAtBoatLandingSeattlePostIntelligencerpublishedasTheSeattlepostintelligencerJanuary231908page8.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll044,LoggerCutinTwobyCircularSawSeattleDailyTimespublishedasTHESEATTLEDAILYTIMESJanuary301906page10.pdf,"""Logger Cut in Two by Circular Saw""",The Seattle Daily Times,1/30/06,Account of working accident at a Washington sawmill. ,Finnish; Lumber,"Vancouver, BC",49.24966,-123.11934,NewsBank,LoggerCutinTwobyCircularSawSeattleDailyTimespublishedasTHESEATTLEDAILYTIMESJanuary301906page10.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll045,ManyNewSettlersSeattlePostIntelligencerpublishedasTheSeattlepostintelligencerApril121903page11.pdf,"""Many New Settlers""",The Seattle Post-Intelligencer,4/12/03,Account of Finnish migration to Western Canada with estimates for movement to the Pacific Northwest. ,Finnish; Agriculture,"Brandon, MB",49.84692,-99.95306,NewsBank,ManyNewSettlersSeattlePostIntelligencerpublishedasTheSeattlepostintelligencerApril121903page11.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll046,ChangeofNameforWobbliesTribunepublishedasTHENEWSTRIBUNEJune241918page11.pdf,"""Change of Name for ""Wobblies"" ",The News Tribune,6/24/18,"Account of I.W.W. activities by Finnish workers and a organizational picnic at Juanita, WA. ",Finnish,"Juanita, Washington",47.70315,-122.20707,NewsBank,ChangeofNameforWobbliesTribunepublishedasTHENEWSTRIBUNEJune241918page11.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll047,EightHeldasSlackersforDodgingDraftSeattlePostIntelligencerpublishedasTHEPOSTINTELLIGENCERJune71917page1.pdf,"""Eight Held as Slackers for Dodging Draft""",The Seattle Post-Intelligencer,6/7/17,Article describes Finnish community outside of Newcastle and their concerted efforts to avoid the draft. ,Finnish; Mining,"Newcastle, Washington",47.53899,-122.15568,NewsBank,EightHeldasSlackersforDodgingDraftSeattlePostIntelligencerpublishedasTHEPOSTINTELLIGENCERJune71917page1.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll048,FinnishLaborerSuicideCityNewsinBriefAmusementsOregonianpublishedasMorningOregonianDecember131918page13.pdf,"""Finnish Laborer Suicide""",The Morning Oregonian,12/13/18,Account of hanging suicide by Finnish laborer. ,Finnish,"Portland, Oregon",45.52345,-122.67621,NewsBank,FinnishLaborerSuicideCityNewsinBriefAmusementsOregonianpublishedasMorningOregonianDecember131918page13.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll049,HeJabsNeckwithKnifeLaborerTiredofLifeOregonianpublishedasMorningOregonianOctober251909page4.pdf,"""He Jabs Neck with Knife Laborer Tired of Life""",The Morning Oregonian,10/25/09,Account of stabbing suicide by Finnish laborer. ,Finnish,"Portland, Oregon",45.52345,-122.67621,NewsBank,HeJabsNeckwithKnifeLaborerTiredofLifeOregonianpublishedasMorningOregonianOctober251909page4.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll050,MaliceisDisclaimedAnswertoSuitofFinnishOregonianpublishedasMorningOregonianJune121919p9.pdf,"""Malice is Disclaimed""",The Morning Oregonian,6/12/19,Account of lawsuit waged against the Finnish Worker's Association hall for drunkenness and abusive behavior. ,Finnish,"Portland, Oregon",45.52345,-122.67621,NewsBank,MaliceisDisclaimedAnswertoSuitofFinnishOregonianpublishedasMorningOregonianJune121919p9.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll051,40GermanImmigrantsAlbanyNotesOregonianpublishedasMorningOregonianOctober91886page4.pdf,"""40 German Immigrants""",The Morning Oregonian,1886-10-09,Account of large movement of German immigrants into Albany. ,German,"Albany, Oregon",44.63651,-123.10593,NewsBank,40GermanImmigrantsAlbanyNotesOregonianpublishedasMorningOregonianOctober91886page4.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll052,GermansInTheUnitedStatesOregonianpublishedasTheSundayOregonianDecember281884page4.pdf,"""Germans In The United States""",The Sunday Oregonian,1884-12-28,"Profile of German immigration, including statistics and some editorial notes about the German ability to ""assimilate.""",German,"Portland, Oregon",45.52345,-122.67621,NewsBank,GermansInTheUnitedStatesOregonianpublishedasTheSundayOregonianDecember281884page4.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll053,MigratoryPopulationOregonianpublishedasMorningOregonianMay91895page4.pdf,"""Migratory Population""",The Morning Oregonian,1895-05-09,"Statistics heavy report on immigration into the US and Pacific Northwest, including the German population. ",German,"Portland, Oregon",45.52345,-122.67621,NewsBank,MigratoryPopulationOregonianpublishedasMorningOregonianMay91895page4.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
